Date/Time,ZONE_F1:Zone Mean Air Temperature [C](Hourly),ZONE_F2:Zone Mean Air Temperature [C](Hourly),ZONE_F3:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,23.48577379774394,24.62967693090195,24.357691490574734 
 01/01  02:00:00,23.282485481602272,24.47153017525372,24.133054375203564 
 01/01  03:00:00,23.07935723057245,24.306222310816676,23.90167361288045 
 01/01  04:00:00,22.892388593591136,24.146400320989393,23.67948894757578 
 01/01  05:00:00,22.703790370502563,23.979201872134283,23.452057012813604 
 01/01  06:00:00,22.54581428474811,23.831010067868313,23.24871311896256 
 01/01  07:00:00,22.43430843487492,23.70580564050177,23.077319363147772 
 01/01  08:00:00,22.62991336621927,23.791228905088147,23.199450600480017 
 01/01  09:00:00,23.82906328470729,24.530048965511966,24.09397492492814 
 01/01  10:00:00,25.074110630194223,25.211544479210456,24.99642482466206 
 01/01  11:00:00,25.66501632324191,25.561128536450692,25.640101276202174 
 01/01  12:00:00,25.976163219188418,25.793442576996114,26.060949927216807 
 01/01  13:00:00,26.240191695073545,26.011011592035587,26.431933191432016 
 01/01  14:00:00,26.55728106832823,26.279022147298864,26.901796500678497 
 01/01  15:00:00,26.86731049499263,26.52997818915079,27.351750058077357 
 01/01  16:00:00,26.90315010094505,26.61693336222793,27.514364032290583 
 01/01  17:00:00,26.611000276463834,26.546967998533816,27.375996664837103 
 01/01  18:00:00,25.960422653249857,26.282620198974325,26.861659680685133 
 01/01  19:00:00,25.394462164120633,26.020012076125674,26.326223987736824 
 01/01  20:00:00,25.167151008639213,25.93018684104358,26.10682521446795 
 01/01  21:00:00,24.995950408078773,25.823397739181864,25.89830998207624 
 01/01  22:00:00,24.82636805279085,25.68738960229914,25.67606482329651 
 01/01  23:00:00,24.215436560539036,25.161406869125422,25.070032065657877 
 01/01  24:00:00,23.78115143396485,24.876221585891386,24.670246050065444 
 01/02  01:00:00,23.551658679192055,24.713399450659224,24.431339292982123 
 01/02  02:00:00,23.330755773368608,24.542300189243058,24.189968766181536 
 01/02  03:00:00,23.148041012181807,24.393013207389842,23.975348217086868 
 01/02  04:00:00,23.019114910885094,24.26904316570657,23.795598280587054 
 01/02  05:00:00,22.90719432460638,24.14830380781209,23.62451315123508 
 01/02  06:00:00,22.79835945250429,24.02358199178648,23.455006963695467 
 01/02  07:00:00,22.658641164032762,23.879320953892627,23.268840144668424 
 01/02  08:00:00,22.573890198952828,23.773605590778587,23.14314873490239 
 01/02  09:00:00,23.22158765772415,24.198105628844594,23.66425544381114 
 01/02  10:00:00,24.202617244772863,24.797541431930057,24.38995955403483 
 01/02  11:00:00,25.02974506192919,25.26182595431838,25.157350225174962 
 01/02  12:00:00,25.479404450856467,25.53771414104973,25.730394760729652 
 01/02  13:00:00,25.607122234875796,25.644311951953366,25.975345441020142 
 01/02  14:00:00,25.65494208206863,25.735215482649984,26.161055905527192 
 01/02  15:00:00,25.909677254107077,25.946310689481198,26.54395008475562 
 01/02  16:00:00,25.79138479751659,25.917326236574986,26.5437114476052 
 01/02  17:00:00,25.49567203252667,25.80935931065884,26.32504241873841 
 01/02  18:00:00,25.11433430213307,25.633892558082035,25.986575171554627 
 01/02  19:00:00,24.77364523891548,25.469194454172364,25.675029121273496 
 01/02  20:00:00,24.566435073202832,25.363030050253858,25.47845094251614 
 01/02  21:00:00,24.401610667045787,25.249998807069765,25.281834087705082 
 01/02  22:00:00,24.264130075285728,25.135739158100012,25.10060775568229 
 01/02  23:00:00,23.6761097124252,24.617817624521503,24.524106039020673 
 01/02  24:00:00,23.250360839240805,24.32630305292662,24.148087013002723 
 01/03  01:00:00,23.05118747371092,24.184035599692063,23.93369254554387 
 01/03  02:00:00,22.863900912535915,24.032829038378022,23.718087343688342 
 01/03  03:00:00,22.684297006388203,23.88017476710212,23.503919009165315 
 01/03  04:00:00,22.515830118849095,23.72796628897789,23.293244861581094 
 01/03  05:00:00,22.343464179555173,23.569324761271897,23.076967507878997 
 01/03  06:00:00,22.20769761399494,23.437639545702748,22.890955441432993 
 01/03  07:00:00,22.12993537165293,23.34049616299141,22.74729890863135 
 01/03  08:00:00,22.185959725923027,23.33021816175774,22.733564916795928 
 01/03  09:00:00,23.01512318614245,23.871185192604344,23.37989832956939 
 01/03  10:00:00,24.312485838024287,24.65715367232851,24.424819641692732 
 01/03  11:00:00,25.120751901775943,25.112638621081913,25.25696252233984 
 01/03  12:00:00,25.52361361262733,25.381835051147757,25.7919766004112 
 01/03  13:00:00,25.68981685310674,25.526276051006644,26.097951117986078 
 01/03  14:00:00,25.805004473165404,25.667483639613266,26.377982095613614 
 01/03  15:00:00,25.994372511594715,25.849570422310222,26.71035058060832 
 01/03  16:00:00,25.882926947210812,25.852744409125933,26.729877943441867 
 01/03  17:00:00,25.40455756097062,25.66752764714076,26.36883665656894 
 01/03  18:00:00,25.09425974459178,25.562676447677024,26.11084559603934 
 01/03  19:00:00,24.830826936488073,25.436461251355784,25.868954372802264 
 01/03  20:00:00,24.62671358362001,25.33781267245941,25.680780691765463 
 01/03  21:00:00,24.436977981030164,25.23199220095377,25.486038309774244 
 01/03  22:00:00,24.303601229073873,25.146002364988835,25.31514724303566 
 01/03  23:00:00,23.718895771565016,24.62668632796309,24.694985840816983 
 01/03  24:00:00,23.304388717932785,24.325822835016737,24.29272511729265 
 01/04  01:00:00,23.121454438126957,24.20150524518675,24.092415794823943 
 01/04  02:00:00,22.951017474564907,24.069594493915726,23.896799695333474 
 01/04  03:00:00,22.7885418361755,23.93525392424741,23.702658730288928 
 01/04  04:00:00,22.631491834837007,23.797375358244672,23.505439888199767 
 01/04  05:00:00,22.473514131331022,23.654899458400493,23.304430364786917 
 01/04  06:00:00,22.341620560315107,23.528689007496194,23.124048120738465 
 01/04  07:00:00,22.241848747719956,23.41722358070112,22.965327446783338 
 01/04  08:00:00,22.252793853856765,23.378377348730183,22.912839107106194 
 01/04  09:00:00,22.96266437228747,23.84947203722276,23.461026782996175 
 01/04  10:00:00,23.93160952095493,24.451912571017505,24.16852785679599 
 01/04  11:00:00,24.90817643968076,25.010533830809287,25.11808637111587 
 01/04  12:00:00,25.184177053172434,25.182870595188778,25.529676781833686 
 01/04  13:00:00,25.256294082972758,25.280237454996385,25.741720402022672 
 01/04  14:00:00,25.377032469207755,25.416309805490226,25.99659434313564 
 01/04  15:00:00,25.767016149414786,25.701629845988094,26.487704003705545 
 01/04  16:00:00,25.92396861585702,25.817408421236337,26.70758541949774 
 01/04  17:00:00,25.619163258261356,25.704118667764604,26.510018732622775 
 01/04  18:00:00,25.00007829844131,25.42091516250359,25.97703776337618 
