Date/Time,ZONE_F1:Zone Mean Air Temperature [C](Hourly),ZONE_F2:Zone Mean Air Temperature [C](Hourly),ZONE_F3:Zone Mean Air Temperature [C](Hourly) 
 01/01  01:00:00,27.70825245850418,29.67418907868589,28.780048011720922 
 01/01  02:00:00,27.43130795020887,29.429021887131526,28.483900588857647 
 01/01  03:00:00,27.1512658039866,29.173833384977463,28.179016499189473 
 01/01  04:00:00,26.887255273645657,28.92470035104001,27.882805365471626 
 01/01  05:00:00,26.622015984639663,28.66910830897346,27.581755071575767 
 01/01  06:00:00,26.387796753786382,28.432378114648635,27.304082235614082 
 01/01  07:00:00,26.19603124194579,28.21572384261968,27.054409627029642 
 01/01  08:00:00,26.53541466982927,28.327365583723676,27.328742313980417 
 01/01  09:00:00,28.20942576235874,29.03302381488912,28.478306040419387 
 01/01  10:00:00,30.220468294360728,29.760594613506168,29.64006093205108 
 01/01  11:00:00,31.31640369245551,30.34603171277151,30.588732898635662 
 01/01  12:00:00,31.766496081917694,30.764808945460228,31.257184698563 
 01/01  13:00:00,32.18549391962851,31.145321594584747,31.76492047217277 
 01/01  14:00:00,32.680650565784504,31.591351461761157,32.36344496288495 
 01/01  15:00:00,33.22303486152605,32.00893429217038,32.92895189572703 
 01/01  16:00:00,33.26066292199491,32.23369255838363,33.12580848408194 
 01/01  17:00:00,32.62774253332589,32.25633532895631,32.892648111765446 
 01/01  18:00:00,31.242661916688846,31.87213959043261,31.96072407439732 
 01/01  19:00:00,30.015308375389644,31.348417168122094,30.970069717795838 
 01/01  20:00:00,29.666508387393144,31.181623204091043,30.668088154806885 
 01/01  21:00:00,29.410093644620037,31.00645694591325,30.41497339788066 
 01/01  22:00:00,29.158128161164864,30.81161715439917,30.158227892383362 
 01/01  23:00:00,28.550122431793223,30.35165351684337,29.596641622444306 
 01/01  24:00:00,28.105424477530242,30.047011369166263,29.19933551392165 
 01/02  01:00:00,27.8037322404897,29.79392242890809,28.88514241546908 
 01/02  02:00:00,27.50654375026692,29.53364965071646,28.57009559449105 
 01/02  03:00:00,27.246113114803205,29.29308712318063,28.28035985077172 
 01/02  04:00:00,27.03216021124379,29.073205598962616,28.01862638682691 
 01/02  05:00:00,26.834131209469994,28.856909874394578,27.766957029571124 
 01/02  06:00:00,26.64052258203815,28.638591533888203,27.518555150741722 
 01/02  07:00:00,26.42489481564646,28.405934858105336,27.25828892074099 
 01/02  08:00:00,26.30457675696767,28.229459607657652,27.104253952444875 
 01/02  09:00:00,27.053140842452045,28.594320719213684,27.74228163008056 
 01/02  10:00:00,28.34677131300213,29.157699982146262,28.745489802993603 
 01/02  11:00:00,29.74623583430947,29.77148675685631,29.763506393071708 
 01/02  12:00:00,30.526288220827887,30.283495865296707,30.628153259943986 
 01/02  13:00:00,30.679033223598218,30.494596295791315,30.97002278220239 
 01/02  14:00:00,30.65477216455665,30.636666081602435,31.100529083350793 
 01/02  15:00:00,31.00778906696598,30.938341809578564,31.519374104953975 
 01/02  16:00:00,30.810360892503844,30.940072744348473,31.44557480039193 
 01/02  17:00:00,30.120784596016684,30.727169771009414,30.920324021188833 
 01/02  18:00:00,29.243181982113352,30.330154322234964,30.208814578321704 
 01/02  19:00:00,28.64521019574276,30.03353929073183,29.712216704786044 
 01/02  20:00:00,28.369548549886744,29.864523860228537,29.466393625498966 
 01/02  21:00:00,28.145679341976304,29.697111158738306,29.243235543642815 
 01/02  22:00:00,27.942392365750774,29.5297638698058,29.0248147391992 
 01/02  23:00:00,27.361833357891953,29.07570934211643,28.482460581954737 
 01/02  24:00:00,26.941687816200666,28.784907022742726,28.104702541268775 
 01/03  01:00:00,26.6836961758558,28.56303806829748,27.8222044396325 
 01/03  02:00:00,26.431441526846992,28.333431599221864,27.53849871503649 
 01/03  03:00:00,26.18559510739389,28.101768520076423,27.255598564146204 
 01/03  04:00:00,25.948654423039038,27.868960165979026,26.973914768599272 
 01/03  05:00:00,25.709492670618424,27.63096339046837,26.687355549886945 
 01/03  06:00:00,25.511299046361263,27.422910380774972,26.435186072304838 
 01/03  07:00:00,25.371794655136934,27.251035188032226,26.22974554377997 
 01/03  08:00:00,25.44178809970255,27.201978760771233,26.242875021061252 
 01/03  09:00:00,26.46750951872949,27.731329844956683,27.06813293573185 
 01/03  10:00:00,28.394351925978114,28.568836479706803,28.45685948348057 
 01/03  11:00:00,29.851710036082277,29.272221259165686,29.644145397133137 
 01/03  12:00:00,30.493392600118277,29.745523179674727,30.4972796872213 
 01/03  13:00:00,30.739686902039452,30.047716350144995,30.946069377166133 
 01/03  14:00:00,30.846294685874774,30.309080201088108,31.254752692521713 
 01/03  15:00:00,31.129653807405667,30.606291341498938,31.60287968316017 
 01/03  16:00:00,30.871905851566197,30.658423700667036,31.51394370623204 
 01/03  17:00:00,29.86599015424242,30.370732469449997,30.761967707199435 
 01/03  18:00:00,29.020700853100983,30.061073642410324,30.08723012987303 
 01/03  19:00:00,28.526178066758348,29.79513097610627,29.655134843444493 
 01/03  20:00:00,28.232443059047217,29.611378538830195,29.396518462033573 
 01/03  21:00:00,27.990339761375605,29.43721965888766,29.1651261505995 
 01/03  22:00:00,27.79912222072325,29.28785057619266,28.96358967037763 
 01/03  23:00:00,27.229033344277028,28.845838104390033,28.42763741190959 
 01/03  24:00:00,26.825825375257285,28.574743124612528,28.062753537488984 
 01/04  01:00:00,26.588015112257004,28.37482674563883,27.800573382954198 
 01/04  02:00:00,26.357415413437938,28.169106451723888,27.53919165226259 
 01/04  03:00:00,26.133854558786368,27.962549920036295,27.279572867104815 
 01/04  04:00:00,25.913868777818273,27.753089527928168,27.018703615865782 
 01/04  05:00:00,25.694213673736527,27.5396583219294,26.755720547748233 
 01/04  06:00:00,25.501034419865604,27.34103404287039,26.51187398622994 
 01/04  07:00:00,25.337791048985096,27.1543585035261,26.285945735745575 
 01/04  08:00:00,25.356951997970203,27.072358190945984,26.251043761448848 
 01/04  09:00:00,26.20490137944723,27.506345216083055,26.928890635920784 
 01/04  10:00:00,27.53556436707489,28.08307599320052,27.876555013515077 
 01/04  11:00:00,29.334347159516415,28.89581564214712,29.17118527477092 
 01/04  12:00:00,29.74690167887099,29.27604635483036,29.908298380366045 
 01/04  13:00:00,29.784255699593437,29.503871494263223,30.22107992833744 
 01/04  14:00:00,29.90200861768897,29.733473134544123,30.491117832386802 
 01/04  15:00:00,30.576050188110848,30.146191081558282,31.07666295819422 
 01/04  16:00:00,30.925979578676834,30.360827869485576,31.34065336980634 
 01/04  17:00:00,30.36041686111944,30.282092419770038,31.015167246767465 
 01/04  18:00:00,29.087637627623497,29.822072919042263,30.035868811677297 
 01/04  19:00:00,28.100830637493726,29.345839816595152,29.19506675401607 
 01/04  20:00:00,27.73712511277649,29.14571771628777,28.857453173065444 
 01/04  21:00:00,27.457423651312222,28.947625488124824,28.56474687005218 
 01/04  22:00:00,27.209448793570687,28.75218344402076,28.288904971472874 
 01/04  23:00:00,26.586179578044604,28.272783672036198,27.689265685873462 
 01/04  24:00:00,26.131637586444853,27.9616897154398,27.260685949324014 
 01/05  01:00:00,25.829875693893406,27.706196863564276,26.917526358620606 
 01/05  02:00:00,25.53200750076858,27.442039227125598,26.57000785670205 
 01/05  03:00:00,25.23305228535048,27.16898458079335,26.216304655509628 
 01/05  04:00:00,24.932626557162678,26.88917562617879,25.85719778162701 
 01/05  05:00:00,24.629200927018438,26.60342362203747,25.494478306289533 
 01/05  06:00:00,24.370440559212533,26.346943324839728,25.169672549767622 
 01/05  07:00:00,24.178959953329027,26.126519419176766,24.89604443710098 
 01/05  08:00:00,24.210356398401732,26.035550934188432,24.863120702632223 
 01/05  09:00:00,25.302967846910025,26.54490665851182,25.721931191197516 
 01/05  10:00:00,25.56600720442932,26.54951959884295,25.794654303225116 
 01/05  11:00:00,26.14913196403705,26.80200941468486,26.263158596435556 
 01/05  12:00:00,26.784469662347707,27.111118092800133,26.830893328659982 
 01/05  13:00:00,26.842110370111627,27.176526874597094,26.928568669292194 
 01/05  14:00:00,27.10400032466503,27.384858892746742,27.229415237119433 
 01/05  15:00:00,27.33020249068623,27.538262117169868,27.446832814631538 
 01/05  16:00:00,26.776278609400674,27.284056837696937,26.961841177344393 
 01/05  17:00:00,26.323648870909928,27.122884597665355,26.654879425795343 
 01/05  18:00:00,25.865574754721816,26.90914543376035,26.3057266453668 
 01/05  19:00:00,25.506728766464974,26.712026604002748,26.01237370077146 
 01/05  20:00:00,25.33910820241413,26.583248379643432,25.855938736687957 
 01/05  21:00:00,25.203639652490146,26.456064448188403,25.712171881515168 
 01/05  22:00:00,25.082594461240248,26.33186877067717,25.574141172010584 
 01/05  23:00:00,24.550415971683204,25.892445292275653,25.08639704247047 
 01/05  24:00:00,24.200526611315233,25.64767901950397,24.793219815522576 
 01/06  01:00:00,24.036534360145435,25.487104935654187,24.611731252872893 
 01/06  02:00:00,23.886986382101398,25.327829497279495,24.44016446058541 
 01/06  03:00:00,23.731610727236635,25.159024928401614,24.261599834281725 
 01/06  04:00:00,23.556961486748257,24.975858628666266,24.06714212560165 
 01/06  05:00:00,23.379773695232142,24.791816133009068,23.87106944920851 
 01/06  06:00:00,23.21388057218622,24.61565533648343,23.683738198792565 
 01/06  07:00:00,23.050343259370816,24.43909087335384,23.49646543969388 
 01/06  08:00:00,23.07110950682135,24.371657391224776,23.508700124466827 
 01/06  09:00:00,24.129881641114572,24.92249285001941,24.39848283168554 
 01/06  10:00:00,25.545812742902164,25.512185746188866,25.352882032470585 
 01/06  11:00:00,26.987387512433823,26.21044724270574,26.547733592084903 
 01/06  12:00:00,27.70831274418934,26.733502729335754,27.50877021513268 
 01/06  13:00:00,28.002094905954642,27.079681823029816,28.01734318930354 
 01/06  14:00:00,28.449798149661163,27.48739928846072,28.54843146909021 
 01/06  15:00:00,28.720039498758158,27.81176840479511,28.95403460115048 
 01/06  16:00:00,28.50464319657759,27.900776051832203,28.91522275900204 
 01/06  17:00:00,27.968942852766787,27.83577430397812,28.544865611364983 
 01/06  18:00:00,27.088677266281298,27.567045596576257,27.832916052403924 
 01/06  19:00:00,26.353377378883984,27.233352541673018,27.169085940479988 
 01/06  20:00:00,26.08687537866608,27.09171648413966,26.931476632573283 
 01/06  21:00:00,25.88660852493451,26.95907896801858,26.738378750027476 
 01/06  22:00:00,25.69117524259989,26.80802470007291,26.532713007994133 
 01/06  23:00:00,25.131400502340874,26.36917707237582,26.004653812543907 
 01/06  24:00:00,24.702109247902378,26.083099130920836,25.620771903025123 
 01/07  01:00:00,24.422143101868485,25.862856548351633,25.325820134446037 
 01/07  02:00:00,24.13647838855242,25.628821038339144,25.016571269467196 
 01/07  03:00:00,23.868550557457795,25.403401858228893,24.715572126019694 
 01/07  04:00:00,23.637408887430396,25.196529715734698,24.433757634779184 
 01/07  05:00:00,23.4102016923909,24.984739648826835,24.14900582912723 
 01/07  06:00:00,23.18118161982165,24.764486915686113,23.860435627790345 
 01/07  07:00:00,22.932402763392084,24.52781109992742,23.55854491571241 
 01/07  08:00:00,23.07246608443881,24.52510557736094,23.645249697706436 
 01/07  09:00:00,24.4895338139104,24.991517705032706,24.47211381966565 
 01/07  10:00:00,26.08535783775167,25.452666531376618,25.288027187232718 
 01/07  11:00:00,27.13763119130248,25.93667223798098,26.02929277010428 
 01/07  12:00:00,27.7867972611317,26.420058920792073,26.676983430297213 
 01/07  13:00:00,28.17461217183385,26.81312990911329,27.15625305503219 
